S860;S840;S844;S848;S830a;S830b;S830c;S890;D802_806sb;D802_806rb;D802_806sc;D802_806rc;D808_810sb;D808_810rb;D818_820sa;D818_820ra;D820_822sa;D820_822ra;D816_824sb;D816_824rb;D824_826sb;D824_826rb;D824_828sc;D824_828rc;D828_830sa;D828_830ra;D854_856sb;D854_856rb;D832_858sa;D832_858ra;D832_858sb;D832_858rb;D832_858sc;D832_858rc;D858_864sb;D858_864rb;D858_834sa;D858_834ra;D858_834sb;D858_834rb;D858_834sc;D858_834rc;D834_860sa;D834_860ra;D834_860sb;D834_860rb;D834_860sc;D834_860rc;D860_836sa;D860_836ra;D860_836sb;D860_836rb;D860_836sc;D860_836rc;D836_840sa;D836_840ra;D836_840sb;D836_840rb;D862_838sb;D862_838rb;D842_844sa;D842_844ra;D844_846sb;D844_846rb;D844_846sc;D844_846rc;D846_848sb;D846_848rb
5144.915102;2407.690826;7230.887491;9195.64718;10361.61768;2081.390641;4691.184248;4739.952328;2345.195744;4376.985932;2936.845136;8308.911861;3332.389462;7209.108103;2447.427158;5955.984157;4891.755642;4529.449574;10835.86492;2240.545011;5117.960471;2764.673104;86.06181167;9588.564799;4600.319035;3106.307285;5330.44238;2749.119848;18914.17065;11034.08604;5451.617025;10504.04384;3220.031649;14092.28645;1586.383351;16768.47669;22761.32786;2863.085087;24051.50771;6155.123397;6903.957546;2987.868667;6402.909701;3335.120627;2339.040823;2515.909762;7321.46998;15188.80666;525.6289282;9109.247934;2852.041491;1701.893144;8624.241526;6400.415185;2892.10573;14897.50456;13794.07021;8843.987055;2262.401893;3908.710101;6876.807344;10800.14886;3922.41191;658.5915444;3171.033781;5095.919747;20788.04974;8990.608151
5130.884998;2425.140652;7238.935379;9191.889916;10852.58267;2094.075717;4681.515453;4655.489803;2407.039338;4514.340292;2933.073727;8315.60244;3296.86057;7182.812893;2447.9045;6003.133797;4906.505233;4543.135237;10785.6663;2245.246102;5123.236127;2754.058385;84.61761352;9537.962491;4610.422821;3118.867305;5292.040141;2741.018045;18897.71911;11018.3595;5459.432;10482.08014;3239.64259;14068.11935;1568.765713;16804.79148;22764.62134;2877.966976;24021.06646;6144.75037;6919.368444;3003.045905;6443.276335;3434.484868;2331.016368;2504.835896;7387.580394;15151.86689;514.0758259;9092.26126;2861.38608;1715.294557;8594.426811;6400.717572;2900.411993;14892.99892;13789.95321;8928.877356;2235.974517;3913.994038;6853.817692;10765.12207;3935.3481;667.1024702;3187.998129;5116.08968;20764.28225;8936.054539
5113.551447;2445.608914;7257.584575;9187.309181;11393.15505;2106.542804;4673.549902;4550.08139;2483.956354;4659.06076;2929.262812;8322.339739;3263.229141;7150.587033;2447.963332;6051.400024;4920.513499;4556.137284;10732.82827;2251.046777;5120.791102;2748.234389;83.01195518;9489.954205;4620.363743;3119.343647;5241.838369;2726.316505;18887.8451;11008.60325;5462.473342;10462.03624;3263.120635;14051.00699;1550.966585;16861.75025;22773.6922;2898.192376;23989.21608;6129.232248;6938.808383;3019.886604;6480.390691;3548.45118;2325.516225;2493.437036;7463.078091;15107.05481;502.3859695;9071.053244;2872.788065;1730.84616;8554.706374;6409.222383;2907.631586;14889.33837;13786.62493;9031.650316;2209.937924;3918.5444;6829.128255;10755.34562;3951.774345;676.2306042;3204.775865;5138.406313;20746.07585;8866.987901
5093.68069;2468.557231;7285.483987;9182.077801;11968.46232;2118.633534;4667.195487;4427.237019;2572.628996;4807.24122;2925.47975;8329.041471;3231.780086;7113.407168;2447.907887;6100.041498;4933.788564;4568.462563;10678.43681;2257.557434;5111.687177;2747.269793;81.3612935;9444.927816;4630.047519;3108.970366;5181.799127;2706.396286;18884.2502;11004.6798;5461.157596;10444.3448;3289.568553;14041.39557;1533.254505;16936.79775;22788.5587;2923.099245;23956.74726;6109.677575;6961.583083;3038.016908;6514.357671;3673.069153;2322.206062;2481.983813;7547.315821;15056.13772;490.6405765;9047.263198;2886.128572;1747.933177;8506.618663;6425.034042;2913.822805;14887.78567;13785.25295;9148.269541;2184.399362;3922.346563;6804.160856;10768.30788;3971.443071;685.8312756;3221.503301;5162.374641;20733.49754;8786.452309
5072.038968;2493.447225;7321.282525;9176.368601;12563.63196;2130.189538;4662.3601;4290.466619;2669.73947;4954.975557;2921.791899;8335.625354;3202.798312;7072.249942;2448.042402;6148.316879;4946.33855;4580.117924;10623.57791;2264.388466;5096.986131;2751.233276;79.78208533;9403.271193;4639.379864;3088.981514;5113.88448;2682.63845;18886.63599;11006.45166;5455.901305;10429.43847;3318.089114;14039.73131;1515.898013;17027.37875;22809.23909;2952.025545;23924.45071;6087.194895;6986.998261;3057.062962;6545.282177;3804.388377;2320.751544;2470.746856;7639.646334;15000.88294;478.9208644;9022.530436;2901.288727;1765.94083;8451.702125;6447.25697;2919.04395;14889.60359;13787.00487;9274.69864;2159.466078;3925.385904;6780.337317;10801.49721;3994.1067;695.7598138;3238.316752;5187.499657;20726.61433;8697.491835
5049.392525;2519.740517;7363.629097;9170.354406;13163.79145;2141.052446;4658.951631;4143.280119;2771.969981;5098.357656;2918.266619;8342.0091;3176.568728;7028.092;2448.671111;6195.484827;4958.171578;4591.110216;10569.33755;2271.150271;5077.749746;2760.193516;78.39078752;9365.372211;4648.266498;3060.611145;5040.056491;2656.424056;18894.70405;11013.78132;5447.121014;10417.7499;3347.785086;14046.46043;1499.165648;17130.93799;22835.75163;2984.309235;23893.11714;6062.892749;7014.359637;3076.650911;6573.269108;3938.458442;2320.818339;2459.996794;7739.422381;14943.05777;467.308051;8998.49427;2918.149654;1784.25434;8391.49521;6474.995588;2923.353317;14896.0549;13793.04828;9406.901219;2135.24532;3927.647798;6759.079462;10852.40199;4019.517656;705.8715482;3255.352528;5213.286359;20725.49322;8603.150554
5026.507601;2546.898726;7411.172613;9164.20804;13754.06828;2151.06389;4656.877974;3989.187447;2876.002733;5233.481401;2914.971269;8348.110426;3153.376244;6981.909987;2450.09825;6240.804002;4969.29577;4601.446289;10516.80172;2277.453244;5055.039799;2774.219189;77.30385692;9331.618739;4656.613136;3025.093313;4962.277226;2629.134163;18908.15596;11026.53128;5435.233268;10409.71177;3377.759239;14062.02912;1483.32595;17244.92025;22868.11457;3019.288275;23863.53725;6037.879681;7042.972929;3096.406898;6598.423366;4071.328937;2322.072114;2450.004255;7845.996712;14884.42953;455.8833537;8976.794014;2936.592481;1802.25893;8327.536364;6507.354318;2926.809205;14908.40238;13804.55077;9540.840885;2111.844338;3929.117622;6741.809114;10918.51057;4047.428365;716.0218079;3272.746943;5239.239739;20730.20121;8506.472539
5004.150439;2574.383473;7462.561981;9158.102329;14319.58992;2160.065501;4656.047019;3831.698534;2978.519933;5356.440677;2911.973208;8353.847047;3133.505769;6934.680545;2452.628054;6283.533064;4979.71925;4611.132992;10467.05638;2282.90778;5029.918072;2793.378975;76.63775038;9302.398651;4664.325497;2983.662071;4882.508748;2602.149832;18926.69331;11044.56406;5420.65461;10405.75672;3407.114343;14086.88361;1468.647457;17366.77027;22906.34617;3056.300625;23836.50173;6013.264235;7072.143856;3115.957067;6620.849851;4199.049453;2324.178536;2441.039869;7958.722077;14826.76554;444.72799;8959.068982;2956.498333;1819.339824;8261.364035;6543.437583;2929.469911;14927.90879;13822.67993;9672.481246;2089.370379;3929.780751;6729.948096;10997.31132;4077.59125;726.0659224;3290.63631;5264.864794;20740.8053;8410.501862
4983.08728;2601.656378;7516.446111;9152.210097;14845.48387;2167.898909;4656.36666;3674.323307;3076.203784;5463.329367;2909.339794;8359.136677;3117.242211;6887.380321;2456.564757;6322.930671;4989.450139;4620.177174;10421.18754;2287.124276;5003.446345;2817.74155;76.50892475;9278.099818;4671.309297;2937.551473;4802.713121;2576.852123;18950.01767;11067.74216;5403.801585;10406.31741;3434.953166;14121.4701;1455.398708;17493.93282;22950.46469;3094.684245;23812.8013;5990.154952;7101.178137;3134.927564;6640.653466;4317.669578;2326.803271;2433.374265;8076.951227;14771.83309;433.9231777;8946.958485;2977.748335;1834.882243;8194.516671;6582.349803;2931.393733;14955.8369;13848.60335;9797.785908;2067.930691;3929.622562;6724.918231;11086.29261;4109.758734;735.8592209;3309.156941;5289.666518;20757.37249;8318.282596
4964.084366;2628.179063;7571.473912;9146.704169;15316.8776;2174.405746;4657.744787;3520.571697;3165.736493;5550.241357;2907.138387;8363.897032;3104.870479;6840.985957;2462.212595;6358.255485;4998.49656;4628.585685;10380.28116;2289.713127;4976.686397;2847.375593;77.03383688;9259.110112;4677.470254;2887.995571;4724.852409;2554.622095;18977.83062;11095.92808;5385.090737;10411.8265;3460.378478;14166.2348;1443.848243;17623.85265;23000.48838;3133.777096;23793.22666;5969.660376;7129.38149;3152.944532;6657.93911;4423.238903;2329.611988;2427.278073;8200.036911;14721.3995;423.5501342;8942.101837;3000.223613;1848.271409;8128.532719;6623.1954;2932.638968;14993.44949;13883.48862;9912.71848;2047.632522;3928.62843;6728.141341;11182.94281;4143.683243;745.2570328;3328.445148;5313.149906;20779.96978;8232.858815
